,Pmult_ChP5-3,Pmult_strain4,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_FT5,Pmult_BR3,Pmult_BNB-2015,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Psch_BM,Pprim_CyL4-1,Ppent_Nr1-10,Pbi_FGC3,Ptetr_Lab,Pnov_UV1-3,Pjen_FT3,Psp_FT8,Pgerm_GO1,Plyn_PO16-1,Plyn_SP-1,Plyn_SD11-9,Plyn_ShKm41,Plyn_HSG3-10,Pcaud_VL10-1,Pcaud_K5-2,Pcaud_OR4-4,Pnephr_BMS16-23,Pwood_BB-5,Pcalk_CyL1-24,Ppol_TBS3,Pchlor_Kon,Pputr_ETu-7,Pbuet_N06,Pdub_Ku4-8,Pbur_OK1,Pbur_YD-2010-3,Pmult_R51-6,Pmult_K4-2,Pmult_CyP5-3,Pmult_FT2,Pfok_T42-1
Ptetr_Lab,2.817,2.887,2.876,2.707,2.825,3.046,3.132,3.095,2.701,2.594,2.584,2.766,0.649,0.235,0.235,0.295,0.0,0.354,0.588,3.582,3.487,3.343,3.343,3.407,3.351,3.473,4.005,3.988,3.988,4.511,4.366,5.396,5.467,3.918,5.451,5.723,5.889,5.676,5.552,2.817,2.817,2.7,2.812,2.584
Pnov_UV1-3,2.591,2.65,2.65,2.712,2.594,3.061,3.134,3.267,2.535,2.535,2.535,2.586,0.413,0.236,0.236,0.177,0.354,0.0,0.59,3.361,3.249,3.118,3.118,3.164,3.119,3.23,3.765,3.765,3.765,4.292,4.141,5.238,5.288,3.815,5.173,5.425,5.768,5.279,5.161,2.591,2.591,2.709,2.825,2.535
Pjen_FT3,2.995,3.066,3.053,2.886,3.004,3.224,3.312,3.442,2.642,2.535,2.525,2.706,0.531,0.412,0.412,0.413,0.588,0.59,0.0,3.464,3.251,3.109,3.109,3.168,3.116,3.234,3.887,3.871,3.871,4.689,4.551,5.572,5.229,3.979,5.334,5.605,5.654,5.556,5.432,2.995,2.995,2.877,2.989,2.525
Psp_FT8,4.164,4.24,4.106,4.297,4.176,4.389,4.43,4.635,4.167,4.125,4.108,4.207,3.361,3.467,3.467,3.54,3.582,3.361,3.464,0.0,3.43,3.578,3.578,3.586,3.586,3.593,4.417,4.399,4.399,4.974,5.094,5.975,5.569,4.678,5.319,5.726,5.464,5.965,5.841,4.164,4.164,4.284,4.154,4.108
Pgerm_GO1,3.542,3.601,3.481,3.662,3.542,4.012,4.076,4.284,4.135,4.135,4.135,4.202,2.894,3.31,3.31,3.31,3.487,3.249,3.251,3.43,0.0,0.414,0.414,0.419,0.414,0.48,1.835,1.835,1.835,5.192,5.692,5.952,5.952,4.655,5.834,6.195,6.195,6.302,6.18,3.302,3.302,3.422,3.536,4.135
Plyn_PO16-1,3.337,3.41,3.277,3.467,3.347,3.806,3.898,3.856,3.925,3.941,3.925,4.019,2.765,3.165,3.165,3.178,3.343,3.118,3.109,3.578,0.414,0.0,0.0,0.0,0.0,0.12,1.769,1.762,1.762,4.798,5.282,5.669,5.813,4.5,5.789,6.136,6.228,6.25,6.133,3.099,3.099,3.218,3.333,3.925
Plyn_SP-1,3.337,3.41,3.277,3.467,3.347,3.806,3.898,3.856,3.925,3.941,3.925,4.019,2.765,3.165,3.165,3.178,3.343,3.118,3.109,3.578,0.414,0.0,0.0,0.0,0.0,0.12,1.769,1.762,1.762,4.798,5.282,5.669,5.813,4.5,5.789,6.136,6.228,6.25,6.133,3.099,3.099,3.218,3.333,3.925
Plyn_SD11-9,3.401,3.461,3.339,3.522,3.401,3.878,3.943,3.856,4.0,4.0,4.0,4.019,2.806,3.226,3.226,3.226,3.407,3.164,3.168,3.586,0.419,0.0,0.0,0.0,0.0,0.12,1.795,1.795,1.795,4.89,5.387,5.777,5.9,4.586,5.9,6.205,6.321,6.369,6.25,3.159,3.159,3.28,3.397,4.0
Plyn_ShKm41,3.345,3.412,3.284,3.46,3.341,3.815,3.896,3.856,3.934,3.943,3.934,4.019,2.766,3.173,3.173,3.18,3.351,3.119,3.116,3.586,0.414,0.0,0.0,0.0,0.0,0.12,1.77,1.766,1.766,4.809,5.295,5.682,5.817,4.511,5.803,6.132,6.232,6.265,6.148,3.107,3.107,3.226,3.341,3.934
Plyn_HSG3-10,3.347,3.407,3.286,3.469,3.347,3.825,3.89,3.856,3.947,4.007,4.007,3.897,2.871,3.291,3.291,3.291,3.473,3.23,3.234,3.593,0.48,0.12,0.12,0.12,0.12,0.0,1.859,1.859,1.859,5.018,5.521,5.907,6.093,4.654,6.03,6.34,6.332,6.444,6.325,3.104,3.104,3.226,3.343,4.007
Pcaud_VL10-1,4.23,4.289,4.289,4.356,4.235,4.7,4.782,5.051,5.062,4.944,4.944,5.162,3.767,3.885,3.885,3.943,4.005,3.765,3.887,4.417,1.835,1.769,1.769,1.795,1.77,1.859,0.0,0.0,0.0,5.575,6.029,6.518,6.4,5.402,6.753,7.139,6.87,6.858,6.741,3.991,3.991,4.11,4.225,4.944
Pcaud_K5-2,4.213,4.289,4.272,4.345,4.225,4.681,4.782,5.051,5.041,4.944,4.924,5.162,3.767,3.869,3.869,3.943,3.988,3.765,3.871,4.399,1.835,1.762,1.762,1.795,1.766,1.859,0.0,0.0,0.0,5.552,6.004,6.491,6.4,5.38,6.725,7.139,6.87,6.83,6.713,3.974,3.974,4.094,4.208,4.924
Pcaud_OR4-4,4.213,4.289,4.272,4.345,4.225,4.681,4.782,5.051,5.041,4.944,4.924,5.162,3.767,3.869,3.869,3.943,3.988,3.765,3.871,4.399,1.835,1.762,1.762,1.795,1.766,1.859,0.0,0.0,0.0,5.552,6.004,6.491,6.4,5.38,6.725,7.139,6.87,6.83,6.713,3.974,3.974,4.094,4.208,4.924
Pnephr_BMS16-23,5.047,5.127,5.047,5.062,5.062,5.396,5.441,5.584,5.226,5.366,5.344,5.352,4.77,4.511,4.511,4.412,4.511,4.292,4.689,4.974,5.192,4.798,4.798,4.89,4.809,5.018,5.575,5.552,5.552,0.0,0.305,4.577,5.176,4.569,5.263,5.549,5.585,5.439,5.322,5.047,5.047,5.047,5.161,5.223
Pwood_BB-5,5.046,5.128,5.046,5.061,5.061,5.404,5.328,5.491,5.109,5.254,5.231,5.237,4.637,4.369,4.369,4.266,4.366,4.141,4.551,5.094,5.692,5.282,5.282,5.387,5.295,5.521,6.029,6.004,6.004,0.305,0.0,4.745,5.305,4.675,5.33,5.685,5.603,5.576,5.451,5.046,5.046,5.046,5.161,5.106
Pcalk_CyL1-24,5.094,5.173,5.152,5.05,5.109,5.266,5.366,5.66,5.507,5.647,5.624,5.639,5.356,5.275,5.275,5.238,5.396,5.238,5.572,5.975,5.952,5.669,5.669,5.777,5.682,5.907,6.518,6.491,6.491,4.577,4.745,0.0,4.583,4.921,5.325,5.012,5.118,5.624,5.686,5.094,5.094,5.035,5.149,5.383
Ppol_TBS3,5.82,5.879,5.82,5.886,5.827,6.228,6.198,6.69,5.879,5.761,5.761,5.995,5.17,5.347,5.347,5.405,5.467,5.288,5.229,5.569,5.952,5.813,5.813,5.9,5.817,6.093,6.4,6.4,6.4,5.176,5.305,4.583,0.0,5.402,6.166,5.706,5.706,5.748,5.63,5.458,5.458,5.516,5.63,5.761
Pchlor_Kon,4.444,4.521,4.503,4.457,4.457,4.676,4.832,5.137,4.559,4.519,4.5,4.668,4.172,3.741,3.741,3.756,3.918,3.815,3.979,4.678,4.655,4.5,4.5,4.586,4.511,4.654,5.402,5.38,5.38,4.569,4.675,4.921,5.402,0.0,5.439,5.49,5.765,6.917,6.8,4.444,4.444,4.444,4.559,4.74
Pputr_ETu-7,5.026,5.106,4.968,5.041,5.041,5.257,5.3,5.304,5.091,5.232,5.211,5.213,5.474,5.214,5.214,5.173,5.451,5.173,5.334,5.319,5.834,5.789,5.789,5.9,5.803,6.03,6.753,6.725,6.725,5.263,5.33,5.325,6.166,5.439,0.0,3.669,4.417,4.689,4.751,5.026,5.026,5.026,5.14,5.211
Pbuet_N06,5.496,5.556,5.556,5.496,5.496,5.726,5.729,6.529,5.303,5.366,5.366,5.389,5.792,5.487,5.487,5.425,5.723,5.425,5.605,5.726,6.195,6.136,6.136,6.205,6.132,6.34,7.139,7.139,7.139,5.549,5.685,5.012,5.706,5.49,3.669,0.0,3.848,5.201,5.26,5.496,5.496,5.496,5.608,5.366
Pdub_Ku4-8,5.654,5.713,5.533,5.66,5.66,5.886,6.091,6.363,5.477,5.477,5.477,5.586,5.771,5.65,5.65,5.768,5.889,5.768,5.654,5.464,6.195,6.228,6.228,6.321,6.232,6.332,6.87,6.87,6.87,5.585,5.603,5.118,5.706,5.765,4.417,3.848,0.0,5.412,5.474,5.654,5.654,5.654,5.768,5.477
Pbur_OK1,5.319,5.399,5.319,5.334,5.334,5.728,5.533,6.186,5.38,5.644,5.621,5.509,5.34,5.377,5.377,5.22,5.676,5.279,5.556,5.965,6.302,6.25,6.25,6.369,6.265,6.444,6.858,6.83,6.83,5.439,5.576,5.624,5.748,6.917,4.689,5.201,5.412,0.0,0.06,5.319,5.319,5.319,5.432,5.621
Pbur_YD-2010-3,5.202,5.282,5.202,5.217,5.217,5.604,5.409,6.009,5.263,5.526,5.504,5.389,5.223,5.26,5.26,5.103,5.552,5.161,5.432,5.841,6.18,6.133,6.133,6.25,6.148,6.325,6.741,6.713,6.713,5.322,5.451,5.686,5.63,6.8,4.751,5.26,5.474,0.06,0.0,5.202,5.202,5.202,5.309,5.504
Pmult_R51-6,0.0,0.059,0.059,0.118,0.0,0.47,0.592,0.603,1.233,1.297,1.292,1.263,2.473,2.639,2.639,2.65,2.817,2.591,2.995,4.164,3.302,3.099,3.099,3.159,3.107,3.104,3.991,3.974,3.974,5.047,5.046,5.094,5.458,4.444,5.026,5.496,5.654,5.319,5.202,0.0,0.0,0.118,0.235,1.292
Pmult_K4-2,0.0,0.059,0.059,0.118,0.0,0.47,0.592,0.603,1.233,1.297,1.292,1.263,2.473,2.639,2.639,2.65,2.817,2.591,2.995,4.164,3.302,3.099,3.099,3.159,3.107,3.104,3.991,3.974,3.974,5.047,5.046,5.094,5.458,4.444,5.026,5.496,5.654,5.319,5.202,0.0,0.0,0.118,0.235,1.292
Pmult_CyP5-3,0.118,0.177,0.176,0.0,0.118,0.352,0.474,0.431,1.174,1.237,1.232,1.202,2.591,2.522,2.522,2.532,2.7,2.709,2.877,4.284,3.422,3.218,3.218,3.28,3.226,3.226,4.11,4.094,4.094,5.047,5.046,5.035,5.516,4.444,5.026,5.496,5.654,5.319,5.202,0.118,0.118,0.0,0.117,1.232
Pmult_FT2,0.235,0.295,0.294,0.118,0.236,0.469,0.591,0.602,1.29,1.355,1.349,1.321,2.707,2.638,2.638,2.649,2.812,2.825,2.989,4.154,3.536,3.333,3.333,3.397,3.341,3.343,4.225,4.208,4.208,5.161,5.161,5.149,5.63,4.559,5.14,5.608,5.768,5.432,5.309,0.235,0.235,0.117,0.0,1.349
Pfok_T42-1,1.292,1.356,1.351,1.236,1.296,1.584,1.656,1.979,0.176,0.0,0.0,0.181,2.476,2.406,2.406,2.416,2.584,2.535,2.525,4.108,4.135,3.925,3.925,4.0,3.934,4.007,4.944,4.924,4.924,5.223,5.106,5.383,5.761,4.74,5.211,5.366,5.477,5.621,5.504,1.292,1.292,1.232,1.349,0.0
