old	new
 P.multimicronucleatum OLI-Parame-mult-01 FJ905143.1 USA?	Paramecium multimicronucleatum OLI-Parame-mult-01 FJ905143.1
 P.multimicronucleatum OLI-Parame-mult-02 FJ905144.1 USA?	Paramecium multimicronucleatum OLI-Parame-mult-02 FJ905144.1
N12 (AB9-8) USA, MA	
 P.multimicronucleatum BR JF304189.1 USA, LA	Paramecium multimicronucleatum BR JF304189.1
 P.multimicronucleatum US_Bl 16I1 MK806287.1 USA, IN	Paramecium multimicronucleatum US_Bl 16I1 MK806287.1
 P.multimicronucleatum T42-1 MT078148.1 Mexico	Paramecium multimicronucleatum T42-1 MT078148.1
 P.multimicronucleatum SMM81-1 MT078149.1 Mexico	Paramecium multimicronucleatum SMM81-1 MT078149.1
P.multimicronucleatum AM MN264577.1 (Rautian)	Paramecium multimicronucleatum AM MN264577.1
P.multimicronucleatum mult M04(ParameciumDB)Australia	Paramecium multimicronucleatum M04
CyL3-21 Cyprus	
strain 14 PP-2 Russia, Pskov region	
PL4-1 Portugal	
N6 (OP13) Russia, SPb	
FT8 Paramecium sp.	
227 MT318934 P.septaurelia	
AZ9-3 PPRIM.AZ9-3.MITO.1.G040 P.primaurelia	
TE PNOVA.TE.MITO.1.G040 P.novaurelia	
N1A PQUAD.NiA.MITO.1.G040 P.quadecaurelia	
V1-4 PBIAU.V1-4.MITO.1.G040 P.biaurelia	
 274 PDODE.274.MITO.1.G040 P.dodecaurelia	
 223 PDECA.223.MITO.1.G040 P.decaurelia	
 51 M15281.1 P.tetraurelia	
 AZ8-4 PSEXA.AZ8-4.MITO.1.G040 P.sexaurelia	
M PJENN.M.MITO.1.G040 P.jenningsi	
