id	new	current_study	erroneous
BC2A42BC58	Paramecium caudatum AF217655.1	False	False
C040B196DD	Paramecium caudatum KF017426.1	False	False
6DE6462133	Paramecium caudatum Or4-4	True	False
091CAEB499	Paramecium caudatum Sp 9-5 MG589312.1	False	False
AAF05D839D	Paramecium caudatum Sp 9-22 MG697233.1	False	False
AAA312B127	Paramecium caudatum SH2 LT549004.1	False	False
1F1F0505E7	Paramecium sp. HB2 KM091237.1	False	False
A6D422A3E2	Paramecium nephridiatum BMS16-23 MK764889.1	False	False
C2282ED026	Paramecium nephridiatum PAR HE978251.1	False	False
98C192D037	Paramecium nephridiatum dup BMS16-23 MK764889.1	False	False
2D42E00238	Paramecium nephridiatum Sr 2-6 MG573198.1	False	False
89E1C4275A	Paramecium nephridiatum BB3-9 AF100316.1	False	False
1DDAB94467	Paramecium duboscqui KR-09052101 HM140398.1	False	True
23F8248FF5	Paramecium woodruffi AF255362.1	False	False
B27226F1AE	Paramecium nephridiatum BMS16-34 MK764894.1	False	False
EA3CE570D7	Paramecium chlorelligerum KX669631.1	False	False
481CDF45D8	Paramecium chlorelligerum KM091235.1	False	False
223A020B7B	Paramecium chlorelligerum HSG2-12 KX669630.1	False	False
26B5E23556	Paramecium chlorelligerum HSG1-11 KX669629.1	False	False
9A947AFD68	Paramecium chlorelligerum Constance JX010740.1	False	False
03564027C5	Paramecium polycaryum TBS3 KY855562.1	False	False
D6681E0795	Paramecium polycaryum DK LT628489.1	False	False
836EF04C33	Paramecium polycaryum GD1 LT628488.1	False	False
42E6299DAD	Paramecium polycaryum AF100313.1	False	False
F5A102F46E	Paramecium putrinum AF255360.1	False	False
321F8E6F62	Paramecium putrinum ETu 7-4 MG573199.1	False	False
B55C8CB377	Paramecium buetschlii KM091234.1	False	False
42FB07F91F	Paramecium sp. OTU29766 OBAT01029766.1	False	False
B6A4A77295	Paramecium sp. OBEP011407967.1	False	False
FB6FD81871	Paramecium sp. OBRS01776142.1	False	False
C2995BFFF7	Paramecium duboscqui Ku4-8 AM236094.1	False	False
157570C66B	Paramecium duboscqui BB8 HE819872.1	False	False
6CF83A75A9	Paramecium duboscqui 702 HE819871.1	False	False
00E87640BA	Paramecium duboscqui In05 HE819875.1	False	False
3ABA40873A	Paramecium duboscqui Ppd-3 HE819877.1	False	False
