,Pmult_ChP5-3,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_CyP5-3,Pmult_BNB-2015,Pmult_FT5,Pmult_FT2,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1,Pmult_ChP5-3,Pmult_strain4,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_FT5,Pmult_BNB-2015,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Psch_BM,Pprim_CyL4-1,Ppent_Nr1-10,Pbi_FGC3,Ptetr_Lab,Pnov_UV1-3,Pjen_FT3,Psp_FT8,Pgerm_GO1,Plyn_PO16-1,Plyn_SP-1,Plyn_SD11-9,Plyn_ShKm41,Plyn_HSG3-10,Pcaud_VL10-1,Pcaud_K5-2,Pcaud_OR4-4,Pnephr_BMS16-23,Pwood_BB-5,Pcalk_CyL1-24,Ppol_TBS3,Pchlor_Kon,Pputr_ETu-7,Pbuet_N06,Pdub_Ku4-8,Pbur_OK1,Pbur_YD-2010-3
Pmult_OmN-1,0.0,0.059,0.0,0.0,0.118,0.603,0.471,0.236,0.059,0.118,0.0,1.237,1.299,1.296,1.263,1.296,0.0,0.059,0.059,0.118,0.0,0.471,0.603,1.237,1.299,1.296,1.263,2.476,2.647,2.647,2.653,2.825,2.594,3.004,4.176,3.542,3.347,3.347,3.401,3.341,3.347,4.235,4.225,4.225,5.062,5.061,5.109,5.827,4.457,5.041,5.496,5.66,5.334,5.217
Pfok_US_Bl_16I1,1.233,1.297,1.233,1.233,1.174,1.979,1.525,1.29,1.292,1.177,1.237,0.0,0.177,0.176,0.0,0.176,1.233,1.297,1.292,1.177,1.237,1.525,1.979,0.0,0.177,0.176,0.0,2.594,2.523,2.523,2.416,2.701,2.535,2.642,4.167,4.135,3.925,3.925,4.0,3.934,3.947,5.062,5.041,5.041,5.226,5.109,5.507,5.879,4.559,5.091,5.303,5.477,5.38,5.263
Pfok_strain14,1.297,1.356,1.297,1.297,1.237,1.979,1.59,1.355,1.356,1.239,1.299,0.177,0.0,0.0,0.181,0.0,1.297,1.356,1.356,1.239,1.299,1.59,1.979,0.177,0.0,0.0,0.181,2.476,2.416,2.416,2.416,2.594,2.535,2.535,4.125,4.135,3.941,3.941,4.0,3.943,4.007,4.944,4.944,4.944,5.366,5.254,5.647,5.761,4.519,5.232,5.366,5.477,5.644,5.526
Pfok_CyL3-21,1.292,1.356,1.292,1.292,1.232,1.979,1.584,1.349,1.351,1.236,1.296,0.176,0.0,0.0,0.181,0.0,1.292,1.356,1.351,1.236,1.296,1.584,1.979,0.176,0.0,0.0,0.181,2.476,2.406,2.406,2.416,2.584,2.535,2.525,4.108,4.135,3.925,3.925,4.0,3.934,4.007,4.944,4.924,4.924,5.344,5.231,5.624,5.761,4.5,5.211,5.366,5.477,5.621,5.504
Pfok_strain12,1.263,1.323,1.263,1.263,1.202,1.979,1.562,1.321,1.323,1.202,1.263,0.0,0.181,0.181,0.0,0.181,1.263,1.323,1.323,1.202,1.263,1.562,1.979,0.0,0.181,0.181,0.0,2.646,2.584,2.584,2.464,2.766,2.586,2.706,4.207,4.202,4.019,4.019,4.019,4.019,3.897,5.162,5.162,5.162,5.352,5.237,5.639,5.995,4.668,5.213,5.389,5.586,5.509,5.389
Pfok_T42-1,1.292,1.356,1.292,1.292,1.232,1.979,1.584,1.349,1.351,1.236,1.296,0.176,0.0,0.0,0.181,0.0,1.292,1.356,1.351,1.236,1.296,1.584,1.979,0.176,0.0,0.0,0.181,2.476,2.406,2.406,2.416,2.584,2.535,2.525,4.108,4.135,3.925,3.925,4.0,3.934,4.007,4.944,4.924,4.924,5.344,5.231,5.624,5.761,4.5,5.211,5.366,5.477,5.621,5.504
Pmult_ChP5-3,0.0,0.059,0.0,0.0,0.118,0.603,0.47,0.235,0.059,0.118,0.0,1.233,1.297,1.292,1.263,1.292,0.0,0.059,0.059,0.118,0.0,0.47,0.603,1.233,1.297,1.292,1.263,2.473,2.639,2.639,2.65,2.817,2.591,2.995,4.164,3.542,3.337,3.337,3.401,3.345,3.347,4.23,4.213,4.213,5.047,5.046,5.094,5.82,4.444,5.026,5.496,5.654,5.319,5.202
Pmult_strain4,0.059,0.0,0.059,0.059,0.177,0.69,0.531,0.295,0.118,0.177,0.059,1.297,1.356,1.356,1.323,1.356,0.059,0.0,0.118,0.177,0.059,0.531,0.69,1.297,1.356,1.356,1.323,2.532,2.709,2.709,2.709,2.887,2.65,3.066,4.24,3.601,3.41,3.41,3.461,3.412,3.407,4.289,4.289,4.289,5.127,5.128,5.173,5.879,4.521,5.106,5.556,5.713,5.399,5.282
Pmult_SK6-3,0.059,0.118,0.059,0.059,0.176,0.69,0.528,0.294,0.0,0.177,0.059,1.292,1.356,1.351,1.323,1.351,0.059,0.118,0.0,0.177,0.059,0.528,0.69,1.292,1.356,1.351,1.323,2.532,2.698,2.698,2.709,2.876,2.65,3.053,4.106,3.481,3.277,3.277,3.339,3.284,3.286,4.289,4.272,4.272,5.047,5.046,5.152,5.82,4.503,4.968,5.556,5.533,5.319,5.202
Pmult_ThK-16,0.118,0.177,0.118,0.118,0.0,0.431,0.353,0.118,0.177,0.0,0.118,1.177,1.239,1.236,1.202,1.236,0.118,0.177,0.177,0.0,0.118,0.353,0.431,1.177,1.239,1.236,1.202,2.594,2.529,2.529,2.535,2.707,2.712,2.886,4.297,3.662,3.467,3.467,3.522,3.46,3.469,4.356,4.345,4.345,5.062,5.061,5.05,5.886,4.457,5.041,5.496,5.66,5.334,5.217
