,Pmult_ChP5-3,Pmult_strain4,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_FT5,Pmult_BR3,Pmult_BNB-2015,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Psch_BM,Pprim_CyL4-1,Ppent_Nr1-10,Pbi_FGC3,Ptetr_Lab,Pnov_UV1-3,Pjen_FT3,Psp_FT8,Pgerm_GO1,Plyn_PO16-1,Plyn_SP-1,Plyn_SD11-9,Plyn_ShKm41,Plyn_HSG3-10,Pcaud_VL10-1,Pcaud_K5-2,Pcaud_OR4-4,Pnephr_BMS16-23,Pwood_BB-5,Pcalk_CyL1-24,Ppol_TBS3,Pchlor_Kon,Pputr_ETu-7,Pbuet_N06,Pdub_Ku4-8,Pbur_OK1,Pbur_YD-2010-3
Pcaud_VL10-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,0.0000000000,0.0767764239,0.0807058531,0.0941645498,0.0870236725,0.0749514408,0.0932199147,0.0933646728,0.0912187041,0.1129440383,0.1146047887
Pcaud_K5-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,0.0764263266,0.0803224526,0.0937248842,0.0870236725,0.0746118866,0.0927859421,0.0933646728,0.0912187041,0.1123984363,0.1140499673
Pcaud_OR4-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0764263266,0.0803224526,0.0937248842,0.0870236725,0.0746118866,0.0927859421,0.0933646728,0.0912187041,0.1123984363,0.1140499673
Pnephr_BMS16-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030593456,0.0592766400,0.0676180171,0.0573431749,0.0751391492,0.0714389450,0.0707595578,0.0965237748,0.0981078523
Pwood_BB-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0632235827,0.0688817093,0.0589853490,0.0791291851,0.0766608783,0.0752424434,0.0990127547,0.0998194355
Pcalk_CyL1-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0723479693,0.0676137295,0.0837048957,0.0734741577,0.0671849834,0.0957940952,0.0973870343
Ppol_TBS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0774918831,0.0931461606,0.0876420565,0.0735880480,0.1006049639,0.1022193947
Pchlor_Kon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0789647020,0.0731150120,0.0716586562,0.0992576174,0.1008585581
Pputr_ETu-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0447253875,0.0546186744,0.0761957429,0.0776966227
Pbuet_N06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0420453022,0.0735022232,0.0742415809
Pdub_Ku4-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0831749712,0.0847096502
Pbur_OK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011931242
Pbur_YD-2010-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
