,Pmult_ChP5-3,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_CyP5-3,Pmult_BNB-2015,Pmult_FT5,Pmult_FT2,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1,Pmult_ChP5-3,Pmult_strain4,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_FT5,Pmult_BNB-2015,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Psch_BM,Pprim_CyL4-1,Ppent_Nr1-10,Pbi_FGC3,Ptetr_Lab,Pnov_UV1-3,Pjen_FT3,Psp_FT8,Pgerm_GO1,Plyn_PO16-1,Plyn_SP-1,Plyn_SD11-9,Plyn_ShKm41,Plyn_HSG3-10,Pcaud_VL10-1,Pcaud_K5-2,Pcaud_OR4-4,Pnephr_BMS16-23,Pwood_BB-5,Pcalk_CyL1-24,Ppol_TBS3,Pchlor_Kon,Pputr_ETu-7,Pbuet_N06,Pdub_Ku4-8,Pbur_OK1,Pbur_YD-2010-3
Pmult_OmN-1,0.0017723897,0.0017765879,0.0017723897,0.0017723897,0.0029562273,0.0086577101,0.0107520477,0.0095592010,0.0023661135,0.0011781130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfok_US_Bl_16I1,0.0143692060,0.0150497114,0.0143692060,0.0143692060,0.0155785144,0.0284466203,0.0236095154,0.0224032579,0.0149865690,0.0174726372,0.0162551913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfok_strain14,0.0150448964,0.0156662737,0.0150448964,0.0150448964,0.0162609353,0.0284466203,0.0243406113,0.0231282526,0.0156662737,0.0175092184,0.0162891979,0.0017729808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfok_CyL3-21,0.0149817942,0.0156662737,0.0149817942,0.0149817942,0.0161926814,0.0284466203,0.0242374023,0.0230301631,0.0156004842,0.0180919527,0.0168729125,0.0017656766,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfok_strain12,0.0147217208,0.0153546942,0.0147217208,0.0147217208,0.0159609920,0.0284466203,0.0241952216,0.0229591609,0.0153546942,0.0159609920,0.0147217208,0.0000000000,0.0018082449,0.0018082449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfok_T42-1,0.0149817942,0.0156662737,0.0149817942,0.0149817942,0.0161926814,0.0284466203,0.0242374023,0.0230301631,0.0156004842,0.0180919527,0.0168729125,0.0017656766,0.0000000000,0.0000000000,0.0018082449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_ChP5-3,0.0000000000,0.0005907297,0.0000000000,0.0000000000,0.0011760349,0.0086577101,0.0089107962,0.0077241415,0.0005882972,0.0029562273,0.0017723897,0.0143692060,0.0150448964,0.0149817942,0.0147217208,0.0149817942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_strain4,0.0005907297,0.0000000000,0.0005907297,0.0005907297,0.0017735380,0.0095406946,0.0095564212,0.0083634545,0.0011829242,0.0029632350,0.0017765879,0.0150497114,0.0156662737,0.0156662737,0.0153546942,0.0156662737,0.0005907297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_SK6-3,0.0005882972,0.0011829242,0.0005882972,0.0005882972,0.0017662293,0.0095406946,0.0095166366,0.0083286295,0.0000000000,0.0035518681,0.0023661135,0.0149865690,0.0156662737,0.0156004842,0.0153546942,0.0156004842,0.0005882972,0.0011829242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_ThK-16,0.0029562273,0.0029632350,0.0029562273,0.0029562273,0.0017723897,0.0069185209,0.0095501007,0.0083579311,0.0035518681,0.0000000000,0.0011781130,0.0174726372,0.0175092184,0.0180919527,0.0159609920,0.0180919527,0.0029562273,0.0029632350,0.0035518681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_OmN-1,0.0017723897,0.0017765879,0.0017723897,0.0017723897,0.0029562273,0.0086577101,0.0107520477,0.0095592010,0.0023661135,0.0011781130,0.0000000000,0.0162551913,0.0162891979,0.0168729125,0.0147217208,0.0168729125,0.0017723897,0.0017765879,0.0023661135,0.0011781130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_FT5,0.0089107962,0.0095564212,0.0089107962,0.0089107962,0.0077168286,0.0157495859,0.0000000000,0.0131635296,0.0095166366,0.0095501007,0.0107520477,0.0236095154,0.0243406113,0.0242374023,0.0241952216,0.0242374023,0.0089107962,0.0095564212,0.0095166366,0.0095501007,0.0107520477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pmult_BNB-2015,0.0086577101,0.0095406946,0.0086577101,0.0086577101,0.0069185209,0.0000000000,0.0157495859,0.0157841684,0.0095406946,0.0069185209,0.0086577101,0.0284466203,0.0284466203,0.0284466203,0.0284466203,0.0284466203,0.0086577101,0.0095406946,0.0095406946,0.0069185209,0.0086577101,0.0157495859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfok_US_Bl_16I1,0.0143692060,0.0150497114,0.0143692060,0.0143692060,0.0155785144,0.0284466203,0.0236095154,0.0224032579,0.0149865690,0.0174726372,0.0162551913,0.0000000000,0.0017729808,0.0017656766,0.0000000000,0.0017656766,0.0143692060,0.0150497114,0.0149865690,0.0174726372,0.0162551913,0.0236095154,0.0284466203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfok_strain14,0.0150448964,0.0156662737,0.0150448964,0.0150448964,0.0162609353,0.0284466203,0.0243406113,0.0231282526,0.0156662737,0.0175092184,0.0162891979,0.0017729808,0.0000000000,0.0000000000,0.0018082449,0.0000000000,0.0150448964,0.0156662737,0.0156662737,0.0175092184,0.0162891979,0.0243406113,0.0284466203,0.0017729808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfok_CyL3-21,0.0149817942,0.0156662737,0.0149817942,0.0149817942,0.0161926814,0.0284466203,0.0242374023,0.0230301631,0.0156004842,0.0180919527,0.0168729125,0.0017656766,0.0000000000,0.0000000000,0.0018082449,0.0000000000,0.0149817942,0.0156662737,0.0156004842,0.0180919527,0.0168729125,0.0242374023,0.0284466203,0.0017656766,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfok_strain12,0.0147217208,0.0153546942,0.0147217208,0.0147217208,0.0159609920,0.0284466203,0.0241952216,0.0229591609,0.0153546942,0.0159609920,0.0147217208,0.0000000000,0.0018082449,0.0018082449,0.0000000000,0.0018082449,0.0147217208,0.0153546942,0.0153546942,0.0159609920,0.0147217208,0.0241952216,0.0284466203,0.0000000000,0.0018082449,0.0018082449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psch_BM,0.0301886035,0.0308437358,0.0301886035,0.0301886035,0.0314450285,0.0418374527,0.0398746269,0.0386369912,0.0308437358,0.0327610970,0.0315005101,0.0269962004,0.0257492651,0.0257492651,0.0275538378,0.0257492651,0.0301886035,0.0308437358,0.0308437358,0.0327610970,0.0315005101,0.0398746269,0.0418374527,0.0269962004,0.0257492651,0.0257492651,0.0275538378,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pprim_CyL4-1,0.0319373977,0.0327334972,0.0319373977,0.0319373977,0.0306854573,0.0409073173,0.0390677556,0.0378357390,0.0325926739,0.0327104074,0.0339709257,0.0281407944,0.0270121733,0.0268966400,0.0288463341,0.0268966400,0.0319373977,0.0327334972,0.0325926739,0.0327104074,0.0339709257,0.0390677556,0.0409073173,0.0281407944,0.0270121733,0.0268966400,0.0288463341,0.0047479160,,,,,,,,,,,,,,,,,,,,,,,,,,
Ppent_Nr1-10,0.0319373977,0.0327334972,0.0319373977,0.0319373977,0.0306854573,0.0409073173,0.0390677556,0.0378357390,0.0325926739,0.0327104074,0.0339709257,0.0281407944,0.0270121733,0.0268966400,0.0288463341,0.0268966400,0.0319373977,0.0327334972,0.0325926739,0.0327104074,0.0339709257,0.0390677556,0.0409073173,0.0281407944,0.0270121733,0.0268966400,0.0288463341,0.0047479160,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,
Pbi_FGC3,0.0320752187,0.0327334972,0.0320752187,0.0320752187,0.0308177764,0.0418398486,0.0392379401,0.0380005964,0.0327334972,0.0321318167,0.0333934252,0.0270121733,0.0270121733,0.0270121733,0.0275704699,0.0270121733,0.0320752187,0.0327334972,0.0327334972,0.0321318167,0.0333934252,0.0392379401,0.0418398486,0.0270121733,0.0270121733,0.0270121733,0.0275704699,0.0047479160,0.0011808954,0.0011808954,,,,,,,,,,,,,,,,,,,,,,,,
Ptetr_Lab,0.0345266200,0.0353402351,0.0345266200,0.0345266200,0.0332679303,0.0418600644,0.0403613829,0.0391280386,0.0351876254,0.0353151270,0.0365824655,0.0307054839,0.0295816312,0.0294546319,0.0314782941,0.0294546319,0.0345266200,0.0353402351,0.0351876254,0.0353151270,0.0365824655,0.0403613829,0.0418600644,0.0307054839,0.0295816312,0.0294546319,0.0314782941,0.0071489408,0.0029500677,0.0029500677,0.0035561155,,,,,,,,,,,,,,,,,,,,,,,
Pnov_UV1-3,0.0314739743,0.0321318167,0.0314739743,0.0314739743,0.0327334972,0.0437080528,0.0411906682,0.0399512394,0.0321318167,0.0340550074,0.0327913085,0.0264113138,0.0264113138,0.0264113138,0.0269574652,0.0264113138,0.0314739743,0.0321318167,0.0321318167,0.0340550074,0.0327913085,0.0411906682,0.0437080528,0.0264113138,0.0264113138,0.0264113138,0.0269574652,0.0041564192,0.0023656174,0.0023656174,0.0017735380,0.0041468162,,,,,,,,,,,,,,,,,,,,,,
Pjen_FT3,0.0345343562,0.0353481849,0.0345343562,0.0345343562,0.0332753977,0.0428634312,0.0403703842,0.0391367883,0.0351955092,0.0353230657,0.0365906745,0.0300700092,0.0289447083,0.0288205302,0.0308262832,0.0288205302,0.0345343562,0.0353481849,0.0351955092,0.0353230657,0.0365906745,0.0403703842,0.0428634312,0.0300700092,0.0289447083,0.0288205302,0.0308262832,0.0059477786,0.0047265597,0.0047265597,0.0047461875,0.0059158900,0.0065390928,,,,,,,,,,,,,,,,,,,,,
Psp_FT8,0.0509798439,0.0519038539,0.0509798439,0.0509798439,0.0496825479,0.0616440516,0.0570515523,0.0557966338,0.0502862303,0.0518654300,0.0531717817,0.0490129055,0.0485791220,0.0483657804,0.0496107357,0.0483657804,0.0509798439,0.0519038539,0.0502862303,0.0518654300,0.0531717817,0.0570515523,0.0616440516,0.0490129055,0.0485791220,0.0483657804,0.0496107357,0.0379278315,0.0371072838,0.0371072838,0.0379042825,0.0376946724,0.0385065005,0.0364628252,,,,,,,,,,,,,,,,,,,,
Pgerm_GO1,0.0523773588,0.0530847011,0.0523773588,0.0523773588,0.0510599399,0.0702829236,0.0592688420,0.0579943305,0.0530847011,0.0510599399,0.0523773588,0.0564504072,0.0564504072,0.0564504072,0.0574436459,0.0564504072,0.0523773588,0.0530847011,0.0530847011,0.0510599399,0.0523773588,0.0592688420,0.0702829236,0.0564504072,0.0564504072,0.0564504072,0.0574436459,0.0408833435,0.0428698643,0.0428698643,0.0428698643,0.0448787542,0.0448536156,0.0422466565,0.0455234006,,,,,,,,,,,,,,,,,,,
Plyn_PO16-1,0.0498451371,0.0507649150,0.0498451371,0.0498451371,0.0485456094,0.0660522189,0.0573415692,0.0560805416,0.0505407332,0.0507272962,0.0520359064,0.0538580783,0.0540976626,0.0538580783,0.0552564168,0.0538580783,0.0498451371,0.0507649150,0.0505407332,0.0507272962,0.0520359064,0.0573415692,0.0660522189,0.0538580783,0.0540976626,0.0538580783,0.0552564168,0.0393555271,0.0411449783,0.0411449783,0.0413251401,0.0438079215,0.0432923261,0.0412043140,0.0471272460,0.0041693958,,,,,,,,,,,,,,,,,,
Plyn_SP-1,0.0498451371,0.0507649150,0.0498451371,0.0498451371,0.0485456094,0.0660522189,0.0573415692,0.0560805416,0.0505407332,0.0507272962,0.0520359064,0.0538580783,0.0540976626,0.0538580783,0.0552564168,0.0538580783,0.0498451371,0.0507649150,0.0505407332,0.0507272962,0.0520359064,0.0573415692,0.0660522189,0.0538580783,0.0540976626,0.0538580783,0.0552564168,0.0393555271,0.0411449783,0.0411449783,0.0413251401,0.0438079215,0.0432923261,0.0412043140,0.0471272460,0.0041693958,0.0000000000,,,,,,,,,,,,,,,,,
Plyn_SD11-9,0.0508708153,0.0515820394,0.0508708153,0.0508708153,0.0495437904,0.0660522189,0.0585328097,0.0572459009,0.0515820394,0.0495437904,0.0508708153,0.0549709781,0.0549709781,0.0549709781,0.0552564168,0.0549709781,0.0508708153,0.0515820394,0.0515820394,0.0495437904,0.0508708153,0.0585328097,0.0660522189,0.0549709781,0.0549709781,0.0549709781,0.0552564168,0.0399793278,0.0419816475,0.0419816475,0.0419816475,0.0447021566,0.0439814759,0.0420433876,0.0474331267,0.0042171177,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,
Plyn_ShKm41,0.0568121975,0.0556193868,0.0568121975,0.0568121975,0.0554922903,0.0660522189,0.0644626947,0.0631887879,0.0575246232,0.0563609838,0.0576869250,0.0609009997,0.0589910251,0.0609009997,0.0552564168,0.0609009997,0.0568121975,0.0556193868,0.0575246232,0.0563609838,0.0576869250,0.0644626947,0.0660522189,0.0609009997,0.0589910251,0.0609009997,0.0552564168,0.0440526977,0.0479302207,0.0479302207,0.0460474360,0.0506498510,0.0480386364,0.0479998241,0.0540349871,0.0059715302,0.0059384059,0.0059384059,0.0000000000,,,,,,,,,,,,,,,
Plyn_HSG3-10,0.0618508684,0.0614244254,0.0618508684,0.0618508684,0.0605149931,0.0660522189,0.0696202788,0.0683359633,0.0625761886,0.0613774649,0.0627187502,0.0659985076,0.0655626021,0.0667092938,0.0559800654,0.0667092938,0.0618508684,0.0614244254,0.0625761886,0.0613774649,0.0627187502,0.0696202788,0.0660522189,0.0659985076,0.0655626021,0.0667092938,0.0559800654,0.0510446937,0.0542413047,0.0542413047,0.0530828164,0.0570170129,0.0551157649,0.0543206620,0.0591347336,0.0145491550,0.0120176039,0.0120176039,0.0048304715,0.0138692209,,,,,,,,,,,,,,
Pcaud_VL10-1,0.0618308717,0.0625560126,0.0618308717,0.0618308717,0.0611628238,0.0839153087,0.0702766232,0.0689922039,0.0625560126,0.0626126802,0.0632829936,0.0653050386,0.0639615713,0.0639615713,0.0667257280,0.0639615713,0.0618308717,0.0625560126,0.0625560126,0.0626126802,0.0632829936,0.0702766232,0.0839153087,0.0653050386,0.0639615713,0.0639615713,0.0667257280,0.0495366786,0.0502496739,0.0502496739,0.0509055791,0.0522482405,0.0508598608,0.0509800150,0.0570175532,0.0188503536,0.0181381024,0.0181381024,0.0184164057,0.0225335649,0.0290132116,,,,,,,,,,,,,
Pcaud_K5-2,0.0615539020,0.0625560126,0.0615539020,0.0615539020,0.0608889485,0.0839153087,0.0699587447,0.0686800490,0.0622754467,0.0631773799,0.0638470410,0.0650114086,0.0639615713,0.0636741964,0.0667257280,0.0636741964,0.0615539020,0.0625560126,0.0622754467,0.0631773799,0.0638470410,0.0699587447,0.0839153087,0.0650114086,0.0639615713,0.0636741964,0.0667257280,0.0495366786,0.0500272499,0.0500272499,0.0509055791,0.0520165887,0.0508598608,0.0507539572,0.0567634358,0.0188503536,0.0180616782,0.0180616782,0.0184164057,0.0243570453,0.0301841172,0.0000000000,,,,,,,,,,,,
Pcaud_OR4-4,0.0615539020,0.0625560126,0.0615539020,0.0615539020,0.0608889485,0.0839153087,0.0699587447,0.0686800490,0.0622754467,0.0631773799,0.0638470410,0.0650114086,0.0639615713,0.0636741964,0.0667257280,0.0636741964,0.0615539020,0.0625560126,0.0622754467,0.0631773799,0.0638470410,0.0699587447,0.0839153087,0.0650114086,0.0639615713,0.0636741964,0.0667257280,0.0495366786,0.0500272499,0.0500272499,0.0509055791,0.0520165887,0.0508598608,0.0507539572,0.0567634358,0.0188503536,0.0180616782,0.0180616782,0.0184164057,0.0243570453,0.0301841172,0.0000000000,0.0000000000,,,,,,,,,,,
Pnephr_BMS16-23,0.0590636694,0.0600526112,0.0590636694,0.0590636694,0.0590636694,0.0746373263,0.0681289241,0.0668477543,0.0590104011,0.0613452833,0.0613452833,0.0583988916,0.0599981676,0.0597289664,0.0599343517,0.0597289664,0.0590636694,0.0600526112,0.0590104011,0.0613452833,0.0613452833,0.0681289241,0.0746373263,0.0583988916,0.0599981676,0.0597289664,0.0599343517,0.0556591710,0.0554136335,0.0554136335,0.0543393347,0.0581887735,0.0550497221,0.0582016686,0.0662522272,0.0676376341,0.0628376039,0.0628376039,0.0641511780,0.0700674492,0.0775066034,0.0768397518,0.0764891291,0.0764891291,,,,,,,,,,
Pwood_BB-5,0.0621760645,0.0632247722,0.0621760645,0.0621760645,0.0621760645,0.0729858767,0.0708813615,0.0695492209,0.0614249604,0.0645709760,0.0645709760,0.0600973499,0.0617709469,0.0614825980,0.0617429796,0.0614825980,0.0621760645,0.0632247722,0.0614249604,0.0645709760,0.0645709760,0.0708813615,0.0729858767,0.0600973499,0.0617709469,0.0614825980,0.0617429796,0.0572420963,0.0569794521,0.0569794521,0.0558678777,0.0591281465,0.0566089279,0.0591417349,0.0668173078,0.0711022898,0.0661016614,0.0661016614,0.0675415088,0.0736721453,0.0814705113,0.0807754354,0.0803914370,0.0803914370,0.0030593241,,,,,,,,,
Pcalk_CyL1-24,0.0707938294,0.0718723940,0.0707938294,0.0707938294,0.0701106327,0.0883935495,0.0780027560,0.0781738377,0.0715430675,0.0725032681,0.0731913903,0.0709326039,0.0726366535,0.0723033565,0.0728409888,0.0723033565,0.0707938294,0.0718723940,0.0715430675,0.0725032681,0.0731913903,0.0780027560,0.0883935495,0.0709326039,0.0726366535,0.0723033565,0.0728409888,0.0708989684,0.0684504626,0.0684504626,0.0680816477,0.0705294993,0.0680193547,0.0726820530,0.0802758275,0.0877893782,0.0840427957,0.0840427957,0.0858549958,0.0917534230,0.0996998416,0.0942401881,0.0937999071,0.0937999071,0.0593103052,0.0632632670,,,,,,,,
Ppol_TBS3,0.0774497058,0.0782146608,0.0774497058,0.0774497058,0.0781426277,0.0966643805,0.0876930779,0.0863770455,0.0782146608,0.0796768877,0.0789815778,0.0799261329,0.0785316902,0.0785316902,0.0817159053,0.0785316902,0.0774497058,0.0782146608,0.0782146608,0.0796768877,0.0789815778,0.0876930779,0.0966643805,0.0799261329,0.0785316902,0.0785316902,0.0817159053,0.0760557346,0.0774870493,0.0774870493,0.0781802719,0.0796138183,0.0767236874,0.0782971143,0.0895040837,0.0844725352,0.0796931766,0.0796931766,0.0810231643,0.0849452259,0.0936039474,0.0871049070,0.0871049070,0.0871049070,0.0676661487,0.0689324013,0.0724020131,,,,,,,
Pchlor_Kon,0.0637112008,0.0647293526,0.0637112008,0.0637112008,0.0637112008,0.0815127261,0.0714089303,0.0715632513,0.0644380302,0.0660248773,0.0660248773,0.0658086348,0.0647594288,0.0644678295,0.0675478820,0.0644678295,0.0637112008,0.0647293526,0.0644380302,0.0660248773,0.0660248773,0.0714089303,0.0815127261,0.0658086348,0.0647594288,0.0644678295,0.0675478820,0.0561772143,0.0552356396,0.0552356396,0.0554818133,0.0580012512,0.0561919282,0.0566316137,0.0653346751,0.0680230819,0.0659667477,0.0659667477,0.0673440734,0.0732247140,0.0800061680,0.0750060010,0.0746659988,0.0746659988,0.0573803383,0.0590266414,0.0676568085,0.0775540942,,,,,,
Pputr_ETu-7,0.0760360784,0.0771453077,0.0760360784,0.0760360784,0.0760360784,0.0933642806,0.0839815935,0.0841653222,0.0752821559,0.0784638112,0.0784638112,0.0737129274,0.0733658335,0.0730318458,0.0756823232,0.0730318458,0.0760360784,0.0771453077,0.0752821559,0.0784638112,0.0784638112,0.0839815935,0.0933642806,0.0737129274,0.0733658335,0.0730318458,0.0756823232,0.0724645114,0.0693878231,0.0693878231,0.0710624381,0.0729465598,0.0711272076,0.0715629150,0.0770700520,0.0829019953,0.0799848253,0.0799848253,0.0816936256,0.0875768991,0.0953982203,0.0932979942,0.0928633842,0.0928633842,0.0752010128,0.0792004891,0.0837700843,0.0932433094,0.0790261624,,,,,
Pbuet_N06,0.0696399973,0.0703894699,0.0696399973,0.0696399973,0.0696399973,0.0889567161,0.0767851752,0.0769539228,0.0703894699,0.0696399973,0.0696399973,0.0766002283,0.0751768307,0.0751768307,0.0779866503,0.0751768307,0.0696399973,0.0703894699,0.0703894699,0.0696399973,0.0696399973,0.0767851752,0.0889567161,0.0766002283,0.0751768307,0.0751768307,0.0779866503,0.0729933606,0.0722659257,0.0722659257,0.0736382636,0.0751244049,0.0737058476,0.0737221551,0.0771126199,0.0811849330,0.0804413833,0.0804413833,0.0814670522,0.0826580057,0.0917470603,0.0934539423,0.0934539423,0.0934539423,0.0714901710,0.0767199489,0.0735267497,0.0877314627,0.0731722071,0.0447429101,,,,
Pdub_Ku4-8,0.0695583666,0.0703000380,0.0695583666,0.0695583666,0.0695583666,0.0852164341,0.0773854157,0.0775538969,0.0703000380,0.0710435969,0.0710435969,0.0683672625,0.0683672625,0.0683672625,0.0698647858,0.0683672625,0.0695583666,0.0703000380,0.0703000380,0.0710435969,0.0710435969,0.0773854157,0.0852164341,0.0683672625,0.0683672625,0.0683672625,0.0698647858,0.0716247923,0.0702274220,0.0702274220,0.0715843806,0.0737995996,0.0716494917,0.0710503753,0.0772345161,0.0818252366,0.0821395397,0.0821395397,0.0835073403,0.0873986205,0.0946546450,0.0912851434,0.0912851434,0.0912851434,0.0708080782,0.0752987407,0.0672268655,0.0736511909,0.0717086092,0.0546428760,0.0420593480,,,
Pbur_OK1,0.0899507367,0.0911787470,0.0899507367,0.0899507367,0.0885269582,0.1019663064,0.0968251487,0.0970421285,0.0899507367,0.0911029644,0.0925372741,0.0943447449,0.0932996139,0.0928587854,0.0969659157,0.0928587854,0.0899507367,0.0911787470,0.0899507367,0.0911029644,0.0925372741,0.0968251487,0.1019663064,0.0943447449,0.0932996139,0.0928587854,0.0969659157,0.0979808068,0.0969199891,0.0969199891,0.0973831279,0.1000570756,0.0996555929,0.1000209537,0.0979357611,0.1044962942,0.1018679689,0.1018679689,0.1041354329,0.1100438956,0.1158610244,0.1130701480,0.1125234939,0.1125234939,0.0966226147,0.0991175752,0.0958856200,0.1007156894,0.0993597906,0.0762548964,0.0735569639,0.0832382918,,
Pbur_YD-2010-3,0.0915151317,0.0927553538,0.0915151317,0.0915151317,0.0900869028,0.1031796933,0.0967903486,0.0970071767,0.0915151317,0.0926779565,0.0941167678,0.0959244837,0.0948823564,0.0944330737,0.0985954993,0.0944330737,0.0915151317,0.0927553538,0.0915151317,0.0926779565,0.0941167678,0.0967903486,0.1031796933,0.0959244837,0.0948823564,0.0944330737,0.0985954993,0.0995834501,0.0985139916,0.0985139916,0.0989857776,0.1000209537,0.1012667747,0.0999848574,0.0979006506,0.1052928190,0.1034759260,0.1034759260,0.1057843056,0.1116895475,0.1175333293,0.1147362648,0.1141803449,0.1141803449,0.0982113578,0.0999273533,0.0974831194,0.1023350853,0.1009655071,0.0777593937,0.0742985210,0.0847767964,0.0011931340,
